CODIGO_WMO,ESTACAO,UF,REGIAO,latitude,longitude,altitude,DATA_FUNDACAO,periodo_valido_inicio,periodo_valido_fim,total_horas_validas,n_observado,n_imputado,n_nan_residual,pct_imputado,foi_segmentada_tier_c,status_final,motivo_exclusao_final,qualidade_geral
A506,MONTES CLAROS,MG,SE,-16.68638888,-43.84388888,645.87,19/12/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130927.0,569.0,15179.0,0.4327127821378597,False,incluida,,alta
A559,JANUARIA,MG,SE,-15.448089,-44.366313,468.0,23/06/16,2016-06-23 00:00:00,2022-12-31 23:00:00,57192.0,52603.0,4589.0,235.0,8.023849489439083,False,incluida,,media
A618,TERESOPOLIS-PARQUE NACIONAL,RJ,SE,-22.4486111,-42.98694444,981.0,01/11/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129908.0,1588.0,277.0,1.2076412970736752,False,incluida,,alta
A652,RIO DE JANEIRO - FORTE DE COPACABANA,RJ,SE,-22.98833333,-43.19055555,25.59,18/05/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130532.0,964.0,599.0,0.7331021475938432,False,incluida,,alta
A737,IBITINGA,SP,SE,-21.85555555,-48.79972221,496.75,09/11/07,,,,,,,,,excluida_cronica,instabilidade cronica (19 obstaculos longo/extremo),excluida
A768,TUPA,SP,SE,-21.927251,-50.490251,498.0,12/05/17,2017-05-12 00:00:00,2022-12-31 23:00:00,49440.0,47490.0,1950.0,129.0,3.944174757281553,False,incluida,,alta
A517,MURIAE,MG,SE,-21.105,-42.37583332,282.79,30/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129305.0,2191.0,6518.0,1.666210379022936,False,incluida,,alta
A601,SEROPEDICA-ECOLOGIA AGRICOLA,RJ,SE,-22.75777777,-43.68472221,35.0,24/05/00,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,131246.0,250.0,5971.0,0.1901198515544199,False,incluida,,alta
A607,CAMPOS DOS GOYTACAZES,RJ,SE,-21.71472222,-41.34388888,17.0,25/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130224.0,1272.0,2743.0,0.9673298047088884,False,incluida,,alta
A619,PARATY,RJ,SE,-23.2236111,-44.72694443,3.0,19/11/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129050.0,2446.0,8737.0,1.8601326276084444,False,incluida,,alta
A510,VICOSA,MG,SE,-20.762607,-42.864013,697.64,15/09/05,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130668.0,828.0,2365.0,0.6296769483482387,False,incluida,,alta
A525,SACRAMENTO,MG,SE,-19.87527777,-47.43416666,913.12,19/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127630.0,3866.0,5967.0,2.9400133844375493,False,incluida,,alta
A608,MACAE,RJ,SE,-22.3761111,-41.81194444,28.0,22/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129501.0,1995.0,4135.0,1.517156415404271,False,incluida,,alta
A712,IGUAPE,SP,SE,-24.67166666,-47.54583333,2.7,20/07/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127873.0,3623.0,13744.0,2.755216888726653,False,incluida,,alta
A726,PIRACICABA,SP,SE,-22.70305555,-47.62333332,566.46,26/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127549.0,3947.0,18279.0,3.0016122163411816,False,incluida,,alta
