protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
MG-F-3135605-12200-20210218,Jequitaí,MG,2021-02-22,12200,3135605,Sudeste,Enxurradas,Hidrológico,1
MG-F-3135803-12300-20211209,Jequitinhonha,MG,2021-12-10,12300,3135803,Sudeste,Alagamentos,Hidrológico,1
MG-F-3135902-12100-20160116,Jesuânia,MG,2016-01-16,12100,3135902,Sudeste,Inundações,Hidrológico,1
MG-A-3136108-12200-20110405,Joanésia,MG,2011-04-05,12200,3136108,Sudeste,Enxurradas,Hidrológico,1
MG-A-3136108-12200-20111220,Joanésia,MG,2011-12-20,12200,3136108,Sudeste,Enxurradas,Hidrológico,1
MG-A-3136207-12100-20090127,João Monlevade,MG,2009-01-27,12100,3136207,Sudeste,Inundações,Hidrológico,1
MG-A-3136207-12200-20091109,João Monlevade,MG,2009-11-09,12200,3136207,Sudeste,Enxurradas,Hidrológico,1
MG-F-3136207-12300-20171211,João Monlevade,MG,2017-12-11,12300,3136207,Sudeste,Alagamentos,Hidrológico,1
MG-F-3136207-12300-20180206,João Monlevade,MG,2018-02-06,12300,3136207,Sudeste,Alagamentos,Hidrológico,1
MG-A-3136306-12200-20111220,João Pinheiro,MG,2011-12-20,12200,3136306,Sudeste,Enxurradas,Hidrológico,1
MG-A-3136405-12100-20091116,Joaquim Felício,MG,2009-11-16,12100,3136405,Sudeste,Inundações,Hidrológico,1
MG-A-3136405-12200-20101205,Joaquim Felício,MG,2010-12-05,12200,3136405,Sudeste,Enxurradas,Hidrológico,1
MG-A-3136520-12100-20081204,José Gonçalves de Minas,MG,2008-12-04,12100,3136520,Sudeste,Inundações,Hidrológico,1
MG-A-3136553-12200-20090208,José Raydan,MG,2009-02-08,12200,3136553,Sudeste,Enxurradas,Hidrológico,1
MG-D-3136603-12200-20120109,Nova União,MG,2012-01-09,12200,3136603,Sudeste,Enxurradas,Hidrológico,1
MG-D-3136652-12200-20111222,Juatuba,MG,2011-12-22,12200,3136652,Sudeste,Enxurradas,Hidrológico,1
MG-A-3136652-12200-20120101,Juatuba,MG,2012-01-01,12200,3136652,Sudeste,Enxurradas,Hidrológico,1
MG-F-3136652-12200-20160119,Juatuba,MG,2016-01-19,12200,3136652,Sudeste,Enxurradas,Hidrológico,1
MG-F-3136702-12100-20160228,Juiz de Fora,MG,2016-02-28,12100,3136702,Sudeste,Inundações,Hidrológico,1
MG-F-3136702-12200-20210101,Juiz de Fora,MG,2021-06-16,12200,3136702,Sudeste,Enxurradas,Hidrológico,1
MG-F-3136702-12200-20210107,Juiz de Fora,MG,2021-06-28,12200,3136702,Sudeste,Enxurradas,Hidrológico,1
MG-F-3136702-12300-20210114,Juiz de Fora,MG,2021-07-12,12300,3136702,Sudeste,Alagamentos,Hidrológico,1
